sequenceID	lineage	clade	length	pubmed_id	isolate_data.country	isolate_data.place_sampled	isolate_data.sampled_host_sci_name	isolate_data.collection_year	isolate_data.collection_month	isolate_data.collection_month_day
KP780839	2	-	10963	26790946	Austria	-	Nestor notabilis (kea)	2011	MAR	14
KP780840	2	-	10963	26790946	Austria	-	Nestor notabilis (kea)	2014	AUG	21
KP789953	2	-	10994	-	Italy	-	Homo sapiens male born in 1939	2014	-	-
KP789954	2	-	11000	-	Italy	-	Homo sapiens male born in 1959	2014	-	-
KP789955	2	-	10995	-	Italy	-	Homo sapiens female born in 1967	2014	-	-
KP789956	2	-	10938	-	Italy	-	Homo sapiens male born in 1938	2014	-	-
KP789957	2	-	10999	-	Italy	-	Homo sapiens male born in 1963	2014	-	-
KP789958	2	-	11000	-	Italy	-	Homo sapiens male born in 1945	2014	-	-
KP789959	2	-	10947	-	Italy	-	Homo sapiens female born in 1934	2014	-	-
KP789960	2	-	10949	-	Italy	-	Homo sapiens male born in 1952	2013	-	-
KR107956	1	A	10435	-	Belgium	-	-	2014	-	-
KR348915	1	A	10299	26210076	-	-	Culex tarsalis	2011	AUG	29
KR348916	1	A	10299	26210076	-	-	Culex tarsalis	2008	AUG	18
KR348917	1	A	10263	26210076	-	-	Culex tarsalis	2008	AUG	18
KR348918	1	A	10299	26210076	-	-	Culex pipiens	2011	MAR	10
KR348919	1	A	10299	26210076	-	-	Culex tarsalis	2009	JUL	29
KR348920	1	A	10299	26210076	-	-	Culex tarsalis	2009	MAR	8
KR348921	1	A	10299	26210076	-	-	Culex pipiens	2009	MAR	8
KR348922	1	A	10299	26210076	-	-	Culex tarsalis	2009	AUG	18
KR348923	1	A	10299	26210076	-	-	Culex tarsalis	2003	AUG	19
KR348924	1	A	10299	26210076	-	-	Culex tarsalis	2003	AUG	19
KR348925	1	A	10299	26210076	-	-	Culex tarsalis	2003	AUG	19
KR348926	1	A	10299	26210076	-	-	Culex tarsalis	2008	DEC	6
KR348927	1	A	10299	26210076	-	-	Culex tarsalis	2003	SEP	16
KR348928	1	A	10299	26210076	-	-	Culex tarsalis	2007	OCT	7
KR348929	1	A	10299	26210076	-	-	Culex tarsalis	2008	OCT	7
KR348930	1	A	10299	26210076	-	-	Culex tarsalis	2009	JAN	9
KR348931	1	A	10299	26210076	-	-	Culex tarsalis	2009	JAN	9
KR348932	1	A	10299	26210076	-	-	Culex tarsalis	2007	SEP	18
KR348933	1	A	10299	26210076	-	-	Culex tarsalis	2008	MAR	9
KR348934	1	A	10299	26210076	-	-	Culex tarsalis	2007	SEP	18
KR348935	1	A	10299	26210076	-	-	Culex tarsalis	2005	MAY	29
KR348936	1	A	10263	26210076	-	-	Culex quinquefasciatus	2008	SEP	25
KR348937	1	A	10299	26210076	-	-	Culex tarsalis	2010	AUG	6
KR348938	1	A	10263	26210076	-	-	Culex tarsalis	2011	FEB	15
KR348939	1	A	10299	26210076	-	-	Culex tarsalis	2005	JUN	19
KR348940	1	A	10299	26210076	-	-	Culex tarsalis	2010	AUG	6
KR348941	1	A	10299	26210076	-	-	Culex tarsalis	2011	AUG	30
KR348942	1	A	10299	26210076	-	-	Culex tarsalis	2011	AUG	30
KR348943	1	A	10299	26210076	-	-	Culex tarsalis	2004	APR	14
KR348944	1	A	10299	26210076	-	-	Culex tarsalis	2010	SEP	14
KR348945	1	A	10299	26210076	-	-	Culex tarsalis	2004	APR	28
KR348946	1	A	10299	26210076	-	-	Culex quinquefasciatus	2008	JUL	24
KR348947	1	A	10299	26210076	-	-	Culex quinquefasciatus	2007	SEP	18
KR348948	1	A	10299	26210076	-	-	Culex quinquefasciatus	2004	AUG	16
KR348949	1	A	10299	26210076	-	-	Culex quinquefasciatus	2004	AUG	24
KR348950	1	A	10299	26210076	-	-	Culex quinquefasciatus	2008	MAY	22
KR348951	1	A	10299	26210076	-	-	Culex quinquefasciatus	2004	MAY	17
KR348952	1	A	10299	26210076	-	-	Culex quinquefasciatus	2007	OCT	18
KR348953	1	A	10299	26210076	-	-	Culex quinquefasciatus	2008	SEP	25
KR348954	1	A	10299	26210076	-	-	Culex quinquefasciatus	2010	NOV	8
KR348955	1	A	10299	26210076	-	-	Culex quinquefasciatus	2007	MAY	12
KR348956	1	A	10299	26210076	-	-	Culex quinquefasciatus	2010	DEC	8
KR348957	1	A	10299	26210076	-	-	Culex quinquefasciatus	2010	DEC	8
KR348958	1	A	10299	26210076	-	-	Culex quinquefasciatus	2011	FEB	9
KR348959	1	A	10263	26210076	-	-	Culex quinquefasciatus	2011	FEB	9
KR348960	1	A	10299	26210076	-	-	Culex quinquefasciatus	2011	FEB	9
KR348961	1	A	10299	26210076	-	-	Culex quinquefasciatus	2011	FEB	9
KR348962	1	A	10299	26210076	-	-	Culex quinquefasciatus	2011	FEB	9
KR348963	1	A	10299	26210076	-	-	Culex stigmatosoma	2011	FEB	9
KR348964	1	A	10299	26210076	-	-	Culex quinquefasciatus	2011	OCT	25
KR348965	1	A	10299	26210076	-	-	Culex quinquefasciatus	2011	OCT	26
KR348966	1	A	10299	26210076	-	-	Culex quinquefasciatus	2011	OCT	28
KR348967	1	A	10299	26210076	-	-	Culex quinquefasciatus	2011	NOV	17
KR348968	1	A	10299	26210076	-	-	Culex quinquefasciatus	2008	JUL	22
KR348969	1	A	10299	26210076	-	-	Culex stigmatosoma	2011	JUN	24
KR348970	1	A	10299	26210076	-	-	Culex quinquefasciatus	2008	JUL	22
KR348971	1	A	10299	26210076	-	-	Culex stigmatosoma	2011	JUN	30
KR348972	1	A	10299	26210076	-	-	Culex quinquefasciatus	2011	JUN	7
KR348973	1	A	10299	26210076	-	-	Culex quinquefasciatus	2011	JUN	7
KR348974	1	A	10135	26210076	-	-	Culex stigmatosoma	2004	MAR	8
KR348975	1	A	10135	26210076	-	-	Culex quinquefasciatus	2004	MAR	8
KR348976	1	A	10135	26210076	-	-	Culex tarsalis	2011	JUL	18
KR348977	1	A	10216	26210076	-	-	Culex tarsalis	2011	AUG	15
KR348978	1	A	10135	26210076	-	-	Culex quinquefasciatus	2008	JUN	27
KR348979	1	A	10135	26210076	-	-	Culex quinquefasciatus	2004	JUL	13
KR348980	1	A	10135	26210076	-	-	Culex tarsalis	2011	JAN	9
KR348981	1	A	10135	26210076	-	-	Culex tarsalis	2011	JAN	9
KR348982	1	A	10135	26210076	-	-	Culex quinquefasciatus	2011	JAN	9
KR348983	1	A	10270	26210076	-	-	Culex quinquefasciatus	2011	JAN	9
KR348984	1	A	10135	26210076	-	-	Culex quinquefasciatus	2011	JAN	9
KR348985	1	A	10135	26210076	-	-	Culex tarsalis	2007	AUG	14
KR348986	1	A	10207	26210076	-	-	Culex tarsalis	2007	AUG	14
KR348987	1	A	10135	26210076	-	-	Culex tarsalis	2008	OCT	9
KR348988	1	A	10135	26210076	-	-	Culex quinquefasciatus	2008	DEC	9
KR348989	1	A	10135	26210076	-	-	Culex tarsalis	2007	NOV	9
KR348990	1	A	10135	26210076	-	-	Culex quinquefasciatus	2007	SEP	13
KR348991	1	A	10299	26210076	-	-	Culex quinquefasciatus	2007	SEP	14
KR348992	1	A	10135	26210076	-	-	Culex quinquefasciatus	2006	SEP	22
KR348993	1	A	10260	26210076	-	-	Culex tarsalis	2011	JUL	21
KR348994	1	A	10135	26210076	-	-	Culex pipiens	2005	AUG	24
KR348995	1	A	10220	26210076	-	-	Culex tarsalis	2005	AUG	23
KR348996	1	A	10135	26210076	-	-	Culex tarsalis	2004	AUG	10
KR348997	1	A	10208	26210076	-	-	Culex pipiens	2005	JUN	29
KR348998	1	A	10135	26210076	-	-	Culex pipiens	2008	JUN	27
KR348999	1	A	10135	26210076	-	-	Culex pipiens	2005	JUL	18
KR349000	1	A	10135	26210076	-	-	Culex tarsalis	2008	JUL	25
KR349001	1	A	10135	26210076	-	-	Culex pipiens	2011	JAN	9
KR349002	1	A	10263	26210076	-	-	Culex tarsalis	2011	JAN	9
KR349003	1	A	10135	26210076	-	-	Culex tarsalis	2011	JAN	9
KR349004	1	A	10135	26210076	-	-	Culex pipiens	2011	JAN	9
KR349005	1	A	10135	26210076	-	-	Culex pipiens	2011	JAN	9
KR349006	1	A	10263	26210076	-	-	Culex pipiens	2011	JAN	9
KR349007	1	A	10135	26210076	-	-	Culex tarsalis	2005	JUL	15
KR349008	1	A	10282	26210076	-	-	Culex tarsalis	2005	JUL	15
KR349009	1	A	10263	26210076	-	-	Culex tarsalis	2005	JUL	15
KR349010	1	A	10299	26210076	-	-	Culex tarsalis	2005	JUL	26
KR349011	1	A	10263	26210076	-	-	Culex pipiens	2005	JUL	28
KR349012	1	A	10135	26210076	-	-	Culex pipiens	2005	JUL	28
KR349013	1	A	10135	26210076	-	-	Culex tarsalis	2007	SEP	25
KR349014	1	A	10299	26210076	-	-	Culex tarsalis	2008	AUG	26
KR349015	1	A	10135	26210076	-	-	Culex tarsalis	2004	NOV	8
KR349016	1	A	10299	26210076	-	-	Culex tarsalis	2004	AUG	13
KR349017	1	A	10135	26210076	-	-	Culex pipiens	2007	JUL	25
KR349018	1	A	10135	26210076	-	-	Culex pipiens	2007	JUL	26
KR349019	1	A	10135	26210076	-	-	Culex pipiens	2009	AUG	25
KR349020	1	A	10299	26210076	-	-	Culex tarsalis	2011	FEB	9
KR349021	1	A	10135	26210076	-	-	Culex tarsalis	2011	JAN	9
KR349022	1	A	10215	26210076	-	-	Culex quinquefasciatus	2011	FEB	9
KR349023	1	A	10135	26210076	-	-	Culex tarsalis	2004	AUG	13
KR349024	1	A	10135	26210076	-	-	Culex tarsalis	2003	AUG	19
KR349025	1	A	10135	26210076	-	-	Culex tarsalis	2007	JUL	25
KR349026	1	A	10135	26210076	-	-	Culex tarsalis	2011	SEP	13
KT020853	1	A	10299	26730392	USA	-	Homo sapiens	2014	OCT	14
KT207791	2	-	10983	26265490	Italy	-	mosquito	2014	JUL	15
KT207792	2	-	10995	26265490	Italy	-	mosquito	2014	AUG	18
KT359349	2	-	10966	27038827	Hungary	-	Homo sapiens	2014	-	-
KT757318	2	-	10948	-	Serbia	-	Culex pipiens	2013	-	-
KT757319	2	-	10948	-	Serbia	-	Culex pipiens	2013	-	-
KT757320	2	-	10948	-	Serbia	-	Culex pipiens	2013	-	-
KT757321	2	-	10948	-	Serbia	-	Culex pipiens	2013	-	-
KT757322	2	-	10948	-	Serbia	-	Culex pipiens	2013	-	-
KT757323	2	-	10948	-	Serbia	-	Culex pipiens	2013	-	-
KT934796	1	B	10302	-	Australia	Victoria	Equus caballus	1984	-	-
KT934797	1	B	10302	-	Australia	New South Wales	Homo sapiens	1991	-	-
KT934798	1	B	10302	-	Australia	"Gulf of Carpentaria, Queensland"	Culex annulirostris	2000	-	-
KT934799	1	B	10302	-	Australia	"Gulf of Carpentaria, Queensland"	Culex annulirostris	2000	-	-
KT934800	1	B	10302	-	Australia	"Pilbara Region, Western Australia"	Culex annulirostris	2009	-	-
KT934801	1	B	10302	-	Australia	"Kimberley Region, Western Australia"	Culex annulirostris	2011	-	-
KT934802	1	B	10302	-	Australia	"Kimberley Region, Western Australia"	Culex annulirostris	2009	-	-
KT934803	1	B	10302	-	Australia	"Hallett, South Australia"	Equus caballus	2011	-	-
KT934804	1	B	10302	-	Australia	New South Wales	Culex annulirostris	2012	-	-
KU206781	2	-	10983	27392134	Bulgaria	-	Homo sapiens	2015	AUG	27
KU573077	1	A	10873	-	Italy	-	Pica pica (magpie)	2008	-	-
KU573078	1	A	10926	-	Italy	-	Culex pipiens	2009	-	-
KU573079	1	A	10772	-	Italy	-	Pica pica (magpie)	2009	-	-
KU573080	2	-	10984	-	Italy	-	Culex pipiens	2013	-	-
KU573081	2	-	10778	-	Italy	-	Pica pica (magpie)	2013	-	-
KU573082	2	-	10905	-	Italy	-	Crow	2013	-	-
KU573083	2	-	10788	-	Italy	-	Culex pipiens	2013	-	-
KU588135	1	A	10485	27273223	United Arab Emirates	-	Camelus dromedarius	2015	-	-
KU978768	1	A	11000	-	Russia	-	Hyalomma	1963	-	-
KX375812	2	-	10359	-	Serbia	-	Homo sapiens	2013	-	-
KX394381	1	B	10740	-	Australia	-	-	1975	-	-
KX394382	1	B	10761	-	Australia	-	Culex annulirostris	2011	-	-
KX394383	1	B	10887	-	Australia	-	Culex annulirostris	1972	-	-
KX394384	1	B	10768	-	Australia	-	Culex annulirostris	1974	-	-
KX394385	1	B	10835	-	Australia	-	Culex annulirostris	1974	-	-
KX394386	1	B	10859	-	Australia	-	Culex annulirostris	1974	-	-
KX394387	1	B	10863	-	Australia	-	Culex annulirostris	1974	-	-
KX394388	1	B	10886	-	Australia	-	Culex annulirostris	1974	-	-
KX394389	1	B	10796	-	Australia	-	Culex annulirostris	1974	-	-
KX394390	1	B	10711	-	Australia	-	Culex annulirostris	1974	-	-
KX394391	1	B	10865	-	Australia	-	Culex annulirostris	1974	-	-
KX394392	1	B	10799	-	Australia	-	-	1963	-	-
KX394393	1	B	10766	-	Australia	-	-	1963	-	-
KX394394	1	B	10833	-	Australia	-	Culex annulirostris	1978	-	-
KX394395	1	B	10801	-	Australia	-	Culex annulirostris	1999	-	-
KX394396	1	B	10790	-	Australia	-	Culex annulirostris	1960	-	-
KX394397	1	B	10687	-	Australia	-	-	1960	-	-
KX394398	1	B	10855	-	Australia	-	Culex annulirostris	1960	-	-
KX394399	1	B	10763	-	Australia	-	-	1960	-	-
KX394400	1	B	10759	-	Australia	-	-	1960	-	-
KX394401	1	B	10761	-	Australia	-	-	1960	-	-
KX394402	1	B	10765	-	Australia	-	-	1960	-	-
KX394403	1	B	10886	-	Australia	-	Anopheles bancroftii	1963	-	-
KX394404	1	B	10791	-	Australia	-	Culex squamosus	1963	-	-
KX394405	1	B	10888	-	Australia	-	Culex annulirostris	1963	-	-
KX394406	1	B	10766	-	Australia	-	Culex squamosus	1963	-	-
KX394407	1	B	10766	-	Australia	-	Anopheles farauti	1963	-	-
KX394408	1	B	10766	-	Australia	-	Culex pullus	1963	-	-
KX394409	1	B	10766	-	Australia	-	Culex annulirostris	1963	-	-
KX394410	1	B	10762	-	Australia	-	Oriolus flavocinctus	1965	-	-
KX394411	1	B	10667	-	Australia	-	-	1978	-	-
KX547164	1	A	10787	-	USA	"Nassau Co., NY"	Culex sp.	2006	SEP	8
KX547165	1	A	10787	-	USA	"Broome Co., NY"	Cyanocitta cristata	2005	SEP	10
KX547166	1	A	10787	-	USA	"Greene Co., NY"	Equus caballus	2003	OCT	28
KX547167	1	A	10787	-	USA	"Onondaga Co., NY"	Culiseta sp.	2013	SEP	4
KX547168	1	A	10787	-	USA	"Albany Co., NY"	Carpodacus mexicanus	2012	SEP	27
KX547169	1	A	10787	-	USA	"Oswego Co., NY"	Culiseta sp.	2015	SEP	2
KX547170	1	A	10787	-	USA	"Onondaga Co., NY"	Culiseta sp.	2003	SEP	23
KX547171	1	A	10787	-	USA	"Oneida Co., NY"	Culiseta sp.	2011	AUG	3
KX547172	1	A	10787	-	USA	"Greene Co., NY"	Corvus ossifragus	2009	SEP	2
KX547173	1	A	10787	-	USA	"Orleans Co., NY"	Corvus brachyrhynchos	2005	AUG	31
KX547174	1	A	10787	-	USA	"Westchester Co., NY"	Culex sp.	2013	JUL	16
KX547175	1	A	10787	-	USA	"Suffolk Co., NY"	Culex sp.	2008	JUL	10
KX547176	1	A	10787	-	USA	"Westchester Co., NY"	Culex sp.	2003	AUG	12
KX547177	1	A	10794	-	USA	"Rockland Co., NY"	Culex sp.	2012	JUL	6
KX547178	1	A	10787	-	USA	"Suffolk Co., NY"	Culiseta sp.	2003	AUG	13
KX547179	1	A	10787	-	USA	"Richmond Co., NY"	Corvus brachyrhynchos	2002	AUG	8
KX547180	1	A	10787	-	USA	"Oswego Co., NY"	Corvus brachyrhynchos	2006	SEP	7
KX547181	1	A	10786	-	USA	"Ulster Co., NY"	Cyanocitta cristata	2003	SEP	24
KX547182	1	A	10787	-	USA	"Orange Co., NY"	Culex sp.	2002	SEP	11
KX547183	1	A	10787	-	USA	"Westchester Co., NY"	Culex sp.	2008	JUL	22
KX547184	1	A	10785	-	USA	"Onondaga Co., NY"	Culex sp.	2013	AUG	28
KX547185	1	A	10787	-	USA	"Erie Co., NY"	Culex sp.	2012	SEP	6
KX547186	1	A	10787	-	USA	"Nassau Co., NY"	Culex sp.	2008	JUL	8
KX547187	1	A	10787	-	USA	"Albany Co., NY"	Corvus brachyrhynchos	2008	AUG	28
KX547188	1	A	10787	-	USA	"Broome Co., NY"	Culex sp.	2003	AUG	15
KX547189	1	A	10787	-	USA	"Broome Co., NY"	Culex sp.	2002	AUG	9
KX547190	1	A	10779	-	USA	"Nassau Co., NY"	Culex sp.	2013	JUL	12
KX547191	1	A	10787	-	USA	"Dutchess Co., NY"	Culex sp.	2008	AUG	7
KX547192	1	A	10787	-	USA	"Oneida Co., NY"	Culiseta sp.	2011	AUG	24
KX547193	1	A	10787	-	USA	"Nassau Co., NY"	Culex sp.	2005	OCT	7
KX547194	1	A	10787	-	USA	"New York Co., NY"	Corvus brachyrhynchos	2002	SEP	21
KX547195	1	A	10787	-	USA	"Bronx Co., NY"	Corvus brachyrhynchos	2007	SEP	19
KX547196	1	A	10787	-	USA	"Nassau Co., NY"	Culex sp.	2013	SEP	17
KX547197	1	A	10787	-	USA	"Ontario Co., NY"	Corvus brachyrhynchos	2004	JUL	29
KX547198	1	A	10786	-	USA	"Onondaga Co., NY"	Culiseta sp.	2012	AUG	28
KX547199	1	A	10787	-	USA	"Suffolk Co., NY"	Culex sp.	2005	JUL	20
KX547200	1	A	10787	-	USA	"Orange Co., NY"	Culex sp.	2012	AUG	16
KX547201	1	A	10787	-	USA	"Nassau Co., NY"	Aedes sp.	2012	JUL	20
KX547202	1	A	10787	-	USA	"Niagara Co., NY"	Larus delawarensis	2004	SEP	26
KX547203	1	A	10787	-	USA	"Suffolk Co., NY"	Culex sp.	2001	OCT	4
KX547204	1	A	10787	-	USA	"Washington Co., NY"	Corvus brachyrhynchos	2002	SEP	12
KX547205	1	A	10787	-	USA	"Rockland Co., NY"	Culex sp.	2005	AUG	19
KX547206	1	A	10787	-	USA	"Chautauqua Co., NY"	Culiseta sp.	2015	AUG	7
KX547207	1	A	10787	-	USA	"Fulton Co., NY"	Corvus brachyrhynchos	2002	AUG	14
KX547208	1	A	10787	-	USA	"Dutchess Co., NY"	Culex sp.	2007	JUL	2
KX547209	1	A	10787	-	USA	"Montgomery Co., NY"	Corvus brachyrhynchos	2006	OCT	22
KX547210	1	A	10787	-	USA	"Nassau Co., NY"	Culex sp.	2001	AUG	17
KX547211	1	A	10787	-	USA	"Putnam Co., NY"	Corvus brachyrhynchos	2006	SEP	11
KX547212	1	A	10787	-	USA	"Orange Co., NY"	Culex sp.	2003	SEP	30
KX547213	1	A	10787	-	USA	"Ulster Co., NY"	Cyanocitta cristata	2002	SEP	13
KX547214	1	A	10787	-	USA	"Chautauqua Co., NY"	Corvus brachyrhynchos	2009	SEP	10
KX547215	1	A	10781	-	USA	"Niagara Co., NY"	Culex sp.	2006	AUG	22
KX547216	1	A	10787	-	USA	"Rockland Co., NY"	Culex sp.	2011	SEP	16
KX547217	1	A	10787	-	USA	"Kings Co., NY"	Colaptes auratus	2005	SEP	29
KX547218	1	A	10787	-	USA	"Monroe Co., NY"	Culex sp.	2003	AUG	14
KX547219	1	A	10787	-	USA	"Dutchess Co., NY"	Culex sp.	2007	AUG	30
KX547220	1	A	10787	-	USA	"Suffolk Co., NY"	Coquillettidia sp.	2011	AUG	18
KX547221	1	A	10787	-	USA	"Nassau Co., NY"	Culex sp.	2014	SEP	23
KX547222	1	A	10786	-	USA	"Nassau Co., NY"	Aedes sp.	2012	JUL	6
KX547223	1	A	10787	-	USA	"Queens Co., NY"	Corvus brachyrhynchos	2005	SEP	16
KX547224	1	A	10787	-	USA	"Rockland Co., NY"	Culex sp.	2006	SEP	8
KX547225	1	A	10787	-	USA	"Rockland Co., NY"	Culex sp.	2010	SEP	17
KX547226	1	A	10787	-	USA	"Onondaga Co., NY"	Culex sp.	2007	JUL	25
KX547227	1	A	10787	-	USA	"Erie Co., NY"	Culex sp.	2011	SEP	1
KX547228	1	A	10787	-	USA	"Richmond Co., NY"	Passer domesticus	2002	SEP	10
KX547229	1	A	10787	-	USA	"Orleans Co., NY"	Cyanocitta cristata	2006	AUG	29
KX547230	1	A	10787	-	USA	"Niagara Co., NY"	Culex sp.	2002	SEP	20
KX547231	1	A	10787	-	USA	"Westchester Co., NY"	Culex sp.	2007	AUG	7
KX547232	1	A	10787	-	USA	"Richmond Co., NY"	Passer domesticus	2004	AUG	30
KX547233	1	A	10787	-	USA	"Richmond Co., NY"	Quiscalus quiscula	2007	JUL	19
KX547234	1	A	10787	-	USA	"Westchester Co., NY"	Culex sp.	2012	JUL	3
KX547235	1	A	10787	-	USA	"Orange Co., NY"	Culex sp.	2015	AUG	13
KX547236	1	A	10787	-	USA	"Onondaga Co., NY"	Aedes sp.	2011	SEP	15
KX547237	1	A	10788	-	USA	"Genesee Co., NY"	Corvus brachyrhynchos	2004	AUG	12
KX547238	1	A	10787	-	USA	"St. Lawrence Co., NY"	Corvus brachyrhynchos	2002	AUG	21
KX547239	1	A	10787	-	USA	"Suffolk Co., NY"	Culiseta sp.	2003	AUG	20
KX547240	1	A	10787	-	USA	"Westchester Co., NY"	Culex sp.	2008	SEP	3
KX547241	1	A	10787	-	USA	"Erie Co., NY"	Culex sp.	2003	SEP	9
KX547242	1	A	10787	-	USA	"Westchester Co., NY"	Culex sp.	2010	AUG	3
KX547243	1	A	10787	-	USA	"Lewis Co., NY"	Corvus brachyrhynchos	2006	AUG	23
KX547244	1	A	10787	-	USA	"Clinton Co., NY"	Corvus brachyrhynchos	2003	OCT	2
KX547245	1	A	10787	-	USA	"Nassau Co., NY"	Culex sp.	2002	SEP	13
KX547246	1	A	10787	-	USA	"Chemung Co., NY"	Corvus brachyrhynchos	2002	SEP	6
KX547247	1	A	10787	-	USA	"Erie Co., NY"	Culex sp.	2002	AUG	14
KX547248	1	A	10787	-	USA	"Rockland Co., NY"	Culex sp.	2003	SEP	26
KX547249	1	A	10787	-	USA	"Queens Co., NY"	Quiscalus quiscula	2004	SEP	15
KX547250	1	A	10787	-	USA	"Erie Co., NY"	Corvus brachyrhynchos	2006	AUG	3
KX547251	1	A	10787	-	USA	"Rockland Co., NY"	Culex sp.	2002	JUL	19
KX547252	1	A	10787	-	USA	"Onondaga Co., NY"	Culiseta sp.	2002	SEP	13
KX547253	1	A	10787	-	USA	"St. Lawrence Co., NY"	Corvus brachyrhynchos	2004	MAY	30
KX547254	1	A	10787	-	USA	"Suffolk Co., NY"	Culex sp.	2013	JUL	17
KX547255	1	A	10787	-	USA	"Oswego Co., NY"	Culiseta sp.	2011	SEP	13
KX547256	1	A	10787	-	USA	"Orange Co., NY"	Culex sp.	2004	AUG	10
KX547257	1	A	10787	-	USA	"Erie Co., NY"	Culex sp.	2007	SEP	24
KX547258	1	A	10787	-	USA	"Ontario Co., NY"	Corvus brachyrhynchos	2006	JUL	12
KX547259	1	A	10787	-	USA	"Niagara Co., NY"	Cyanocitta cristata	2005	AUG	11
KX547260	1	A	10787	-	USA	"Onondaga Co., NY"	Corvus brachyrhynchos	2006	AUG	10
KX547261	1	A	10787	-	USA	"Queens Co., NY"	Passer domesticus	2002	SEP	4
KX547262	1	A	10787	-	USA	"Onondaga Co., NY"	Corvus brachyrhynchos	2005	JUL	20
KX547263	1	A	10787	-	USA	"Albany Co., NY"	Cardinalis cardinalis	2002	SEP	16
KX547264	1	A	10787	-	USA	"Livingston Co., NY"	Corvus brachyrhynchos	2004	AUG	16
KX547265	1	A	10787	-	USA	"Suffolk Co., NY"	Cyanocitta cristata	2009	AUG	31
KX547266	1	A	10787	-	USA	"Nassau Co., NY"	Culex sp.	2002	AUG	9
KX547267	1	A	10787	-	USA	"Dutchess Co., NY"	Cyanocitta cristata	2003	SEP	29
KX547268	1	A	10787	-	USA	"Nassau Co., NY"	Culex sp.	2006	AUG	9
KX547269	1	A	10787	-	USA	"Oswego Co., NY"	Culiseta sp.	2013	AUG	23
KX547270	1	A	10787	-	USA	"Albany Co., NY"	Corvus brachyrhynchos	2006	AUG	23
KX547271	1	A	10787	-	USA	"Seneca Co., NY"	Cyanocitta cristata	2006	AUG	12
KX547272	1	A	10787	-	USA	"Suffolk Co., NY"	Culex sp.	2001	AUG	7
KX547273	1	A	10787	-	USA	"Erie Co., NY"	Culex sp.	2006	JUL	31
KX547274	1	A	10787	-	USA	"Madison Co., NY"	Culiseta sp.	2013	SEP	5
KX547275	1	A	10787	-	USA	"Jefferson Co., NY"	Cyanocitta cristata	2004	SEP	3
KX547276	1	A	10787	-	USA	"Erie Co., NY"	Culex sp.	2011	JUL	18
KX547277	1	A	10787	-	USA	"Orange Co., NY"	Culex sp.	2004	SEP	23
KX547278	1	A	10787	-	USA	"Albany Co., NY"	Corvus brachyrhynchos	2012	SEP	17
KX547279	1	A	10787	-	USA	"Suffolk Co., NY"	Culex sp.	2010	JUL	8
KX547280	1	A	10787	-	USA	"Oswego Co., NY"	Culiseta sp.	2012	SEP	10
KX547281	1	A	10787	-	USA	"Cortland Co., NY"	Corvus brachyrhynchos	2004	JUN	4
KX547282	1	A	10786	-	USA	"Orleans Co., NY"	Cyanocitta cristata	2004	SEP	7
KX547283	1	A	10787	-	USA	"Nassau Co., NY"	Aedes sp.	2012	AUG	30
KX547284	1	A	10787	-	USA	"Niagara Co., NY"	Culex sp.	2008	AUG	15
KX547285	1	A	10787	-	USA	"Bronx Co., NY"	Corvus brachyrhynchos	2004	AUG	16
KX547286	1	A	10785	-	USA	"Chautauqua Co., NY"	Culiseta sp.	2015	SEP	3
KX547287	1	A	10787	-	USA	"New York Co., NY"	Passer domesticus	2003	SEP	29
KX547288	1	A	10787	-	USA	"Broome Co., NY"	Corvus brachyrhynchos	2003	JUL	27
KX547289	1	A	10787	-	USA	"Cortland Co., NY"	Corvus brachyrhynchos	2005	OCT	5
KX547290	1	A	10787	-	USA	"Schenectady Co., NY"	Corvus brachyrhynchos	2007	AUG	13
KX547291	1	A	10787	-	USA	"Onondaga Co., NY"	Culiseta sp.	2012	AUG	14
KX547292	1	A	10787	-	USA	"Sufolk Co., NY"	Culex sp.	2009	SEP	16
KX547293	1	A	10787	-	USA	"Oswego Co., NY"	Culiseta sp.	2011	AUG	24
KX547294	1	A	10787	-	USA	"Rockland Co., NY"	Culex sp.	2010	SEP	30
KX547295	1	A	10787	-	USA	"Nassau Co., NY"	Culex sp.	2011	AUG	24
KX547296	1	A	10787	-	USA	"Columbia Co., NY"	Corvus brachyrhynchos	2004	MAY	11
KX547297	1	A	10784	-	USA	"Orleans Co., NY"	Corvus brachyrhynchos	2007	AUG	6
KX547298	1	A	10787	-	USA	"Erie Co., NY"	Culex sp.	2004	AUG	3
KX547299	1	A	10787	-	USA	"Otsego Co., NY"	Corvus brachyrhynchos	2002	AUG	25
KX547300	1	A	10787	-	USA	"Ulster Co., NY"	Corvus brachyrhynchos	2009	AUG	17
KX547301	1	A	10787	-	USA	"Onondaga Co., NY"	Culiseta sp.	2002	SEP	10
KX547302	1	A	10787	-	USA	"Broome Co., NY"	Corvus brachyrhynchos	2004	AUG	4
KX547303	1	A	10787	-	USA	"Westchester Co., NY"	Culex sp.	2005	JUL	27
KX547304	1	A	10787	-	USA	"Ulster Co., NY"	Corvus brachyrhynchos	2004	SEP	2
KX547305	1	A	10786	-	USA	"Albany Co., NY"	Corvus brachyrhynchos	2002	AUG	25
KX547306	1	A	10787	-	USA	"Westchester Co., NY"	Culex sp.	2009	SEP	2
KX547307	1	A	10787	-	USA	"Bronx Co., NY"	Cyanocitta cristata	2005	AUG	15
